Question,Answer,Lemmatized
Don't you have any other jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
How come you only know one joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I already heard that one,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I heard that one before,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I need a better joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I need a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I need a funnier joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I need a new flavor of joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I need a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I want a better joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I want a brand new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I want a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I want a different kind of joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Alternate joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
How bout a new joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Can you tell me another joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Alternate joke please,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Another joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
"another joke, please","Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Any different jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Any new jokes,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Any other jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Are there any other jokes that you know of?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Are there any other jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
better joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
better joke please,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Bot I need a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Can you tell me a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Give me an alternative joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Can you tell me a second joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I would like a fresh joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Can you tell me any other jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Come on you have a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
"different joke, please","Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you have a variety of jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you have an arsenal of jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you know a bunch of good jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you know a different joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you know a great many jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you know another joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you know any new jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do you know any other jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Don't you have any new jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Can you tell me a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes do you have up your sleeve?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I want a funnier joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
u know any other jokes?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Wanna share a different joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Wanna share a new joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Wanna share another joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Want to share a different joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Want to share a new joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Want to share another joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What different jokes do you know?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What is a different joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What is another joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes are there?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
u know a second joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes can you tell?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
u know a new joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes do you have?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes do you know of?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes do you know?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What's a different joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What's another joke you know?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What's another joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Why did you tell me the same joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Will you tell me  a second joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Will you tell me a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Will you tell me a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Will you tell me another joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
You already told me that one,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
You got some jokes you haven't told me?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
What other jokes can you say?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I'd really like to hear a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
It's time for a brand new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
It's time for a new kind of joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
I've already heard that one before,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
new joke please,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
next joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
"next joke, please","Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Please tell me another joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Say a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Say a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Say another joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
u know another joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Share a different joke with me,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
You must have different kinds of jokes,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell another joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a better joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a different joke.,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a different kind of joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a dirty joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a funnier joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a new joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a pirate joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a science joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me a third joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Tell me another joke.,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
u know a different joke?,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Share a different joke,"Two goldfish are in a tank. One looks to the other and says, ""Do you know how to drive this thing?"" Sorry that's all I've got.",
Do something stupid,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do a silly thing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something amusing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something dumb,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something kooky,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something off the wall,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
I want you to tell me something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something silly,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
"Come on, say something funny","It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something that will make me laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something wacky,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Entertain me,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Give me a good chuckle,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
How would you make me laugh?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
I want something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Amuse me,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do something ridiculous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you be silly,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Amuse me with something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Be funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Be funny right now,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Be ridiculous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Be silly,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Be silly for me,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you be a silly billy?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do a ridiculous thing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you be ridiculous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Do a funny thing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you do something funny?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you make me laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you say something funny?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you say something ridiculous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you say something silly,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you tell me something funny?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
It's time to make me laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Can you be funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you make me laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Tell me something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Tell me something off the wall,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Try to make me belly laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Try to make me laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
What can you say that will make me laugh?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you be funny?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
I want to hear something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you do something funny?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something that will crack me up,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you say something funny?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you say something ridiculous?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you say something silly?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Won't you do something amusing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Won't you do something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Won't you do something silly?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Won't you say something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Will you be silly?,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something funny,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Make me laugh,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Make me laugh out loud,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Please make me giggle,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say a dumb saying,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say a funny saying,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say a funny thing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say a ridiculous thing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Tell me something dumb,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something dumb,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something wacky,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something humorous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something kooky,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something off the wall,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something ridiculous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something silly,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say something stupid,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Won't you say something humorous,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
Say a silly thing,"It's hard to be funny on command, but if we keep chatting I'm sure I'll do it by accident.",
I'm sick of listening to you,Will do.,
I've had enough of this noise,Will do.,
It's time for you to shut up now,Will do.,
It's time for you to shut up,Will do.,
It's time for you to hush up,Will do.,
It's time for you to hush,Will do.,
It's time for you to be quiet now,Will do.,
I wish you would be quiet,Will do.,
I'm tired of listening to you,Will do.,
"Just shut up, okay?",Will do.,
I'm sick and tired of listening to you,Will do.,
I'm not interested in what you're saying,Will do.,
I'm not interested in what you have to say,Will do.,
I'm done listening to you,Will do.,
I wish you would shut up,Will do.,
Be quiet,Will do.,
It's time for you to be quiet,Will do.,
Not a peep from you,Will do.,
Please just shut up,Will do.,
Please hush,Will do.,
Please go away,Will do.,
Please be quiet,Will do.,
"Oh, shush you",Will do.,
Not another word out of you,Will do.,
I've had enough of your noise,Will do.,
Not another word,Will do.,
Just shut up,Will do.,
No talking,Will do.,
No more!,Will do.,
No more talking,Will do.,
No more out of you,Will do.,
No more from you,Will do.,
Let's play the silent game,Will do.,
"I told you, shut up",Will do.,
Not another word from you,Will do.,
Go away,Will do.,
I can't take your talking anymore,Will do.,
I can't take your talking,Will do.,
I can't take another word out of you,Will do.,
"Hush, you",Will do.,
Hush up your mouth,Will do.,
Hush up,Will do.,
I wish you would just go away.,Will do.,
Hush,Will do.,
I don't have time to listen to you,Will do.,
Enough with your noise,Will do.,
Enough with your chatter,Will do.,
Enough already,Will do.,
Did you hear me? I said be quiet!,Will do.,
Can you be quiet?,Will do.,
"Be quiet, you",Will do.,
Hush little baby,Will do.,
I don't want to hear anything more,Will do.,
"I told you, hush",Will do.,
I told you to shut up,Will do.,
I told you to hush up,Will do.,
I told you to be quiet,Will do.,
"I said, shut up",Will do.,
"I said, enough",Will do.,
I don't have time for your noise,Will do.,
I don't want to hear anything you have to say,Will do.,
I don't have time to listen to what you have to say,Will do.,
I don't want to hear anything from you,Will do.,
I don't want to hear any more out of you,Will do.,
I don't want to hear any more from you,Will do.,
I don't want to hear another word out of you,Will do.,
I don't want to hear another word,Will do.,
I don't want to hear a peep from you,Will do.,
Please shut up,Will do.,
I said hush,Will do.,
Time for you to shut up,Will do.,
Will you go away,Will do.,
Will you be quiet,Will do.,
Time to shut up now,Will do.,
Time to shut up,Will do.,
Time to hush up now,Will do.,
Time to hush,Will do.,
Please say your done now,Will do.,
Time to be quiet,Will do.,
Will you please go away,Will do.,
Time for you to hush up,Will do.,
Time for you to hush,Will do.,
Time for you to be quiet,Will do.,
That's enough out of you,Will do.,
That's enough from you,Will do.,
That's enough,Will do.,
Time to be quiet now,Will do.,
Will you shut up,Will do.,
Zip it!,Will do.,
You can stop talking now,Will do.,
You can shut up now,Will do.,
You can just shut up now,Will do.,
You can just be quiet now,Will do.,
You can hush up now,Will do.,
Will you hush,Will do.,
Will you stop talking,Will do.,
Will you please be quiet,Will do.,
Will you shush,Will do.,
Will you please zip it,Will do.,
Will you please stop talking,Will do.,
Will you please shut up,Will do.,
Will you please shush,Will do.,
Will you please hush,Will do.,
Stop your noise,Will do.,
Will you zip it,Will do.,
"Quiet, you",Will do.,
Talk to the hand,Will do.,
Shut up already,Will do.,
Shut up,Will do.,
Shut it,Will do.,
Shush,Will do.,
Shhh,Will do.,
Shut up your mouth,Will do.,
Read my lips: be quiet,Will do.,
"Shut up, please",Will do.,
Quiet time,Will do.,
Quiet,Will do.,
Put a sock in it,Will do.,
Put a cork in it,Will do.,
Please zip it,Will do.,
Please stop talking,Will do.,
"Zip it, you",Will do.,
Read my lips: zip it,Will do.,
Silence is golden,Will do.,
Please shush,Will do.,
Stop with the noise,Will do.,
"Stop talking, you",Will do.,
Stop talking,Will do.,
Stop it with the noise already,Will do.,
Stop flapping your jaw,Will do.,
Shut up your face,Will do.,
Silence!,Will do.,
Stop your talking,Will do.,
Shut your yap,Will do.,
Shut your trap,Will do.,
Shut your pie hole,Will do.,
Shut your mouth,Will do.,
Shut your face,Will do.,
"Shut up, you",Will do.,
"Shut up, will ya",Will do.,
Stop all your noise,Will do.,
I would really enjoy hearing you sing,"La la la, tra la la. I'm awesome at this.",
Aren't you going to sing a song?,"La la la, tra la la. I'm awesome at this.",
Don't you want to sing for me?,"La la la, tra la la. I'm awesome at this.",
Go ahead and sing,"La la la, tra la la. I'm awesome at this.",
Have you ever sung a song?,"La la la, tra la la. I'm awesome at this.",
Hum a tune,"La la la, tra la la. I'm awesome at this.",
Hum a tune for me,"La la la, tra la la. I'm awesome at this.",
I need to hear you sing,"La la la, tra la la. I'm awesome at this.",
I would appreciate if you sang a song?,"La la la, tra la la. I'm awesome at this.",
I would just love to hear you sing,"La la la, tra la la. I'm awesome at this.",
I would love for you to sing to me,"La la la, tra la la. I'm awesome at this.",
Do you sing?,"La la la, tra la la. I'm awesome at this.",
I would love to hear your singing voice,"La la la, tra la la. I'm awesome at this.",
Do you know how to sing,"La la la, tra la la. I'm awesome at this.",
I would really enjoy hearing you sing a pretty song,"La la la, tra la la. I'm awesome at this.",
I would sure enjoy hearing you sing,"La la la, tra la la. I'm awesome at this.",
I'd love a song,"La la la, tra la la. I'm awesome at this.",
I'd love it if you'd sing,"La la la, tra la la. I'm awesome at this.",
I'd love to hear you sing,"La la la, tra la la. I'm awesome at this.",
I'd love you to sing for me,"La la la, tra la la. I'm awesome at this.",
It's time for you to sing,"La la la, tra la la. I'm awesome at this.",
It's time for you to sing a song,"La la la, tra la la. I'm awesome at this.",
May I please hear your singing voice?,"La la la, tra la la. I'm awesome at this.",
Oh please sing for me,"La la la, tra la la. I'm awesome at this.",
Sing,"La la la, tra la la. I'm awesome at this.",
I would love to hear you sing,"La la la, tra la la. I'm awesome at this.",
Can you sing for me?,"La la la, tra la la. I'm awesome at this.",
Aren't you going to sing for me?,"La la la, tra la la. I'm awesome at this.",
Aren't you going to sing to me?,"La la la, tra la la. I'm awesome at this.",
Aren't you going to sing?,"La la la, tra la la. I'm awesome at this.",
Can I hear your singing voice?,"La la la, tra la la. I'm awesome at this.",
Can you please sing a song to me?,"La la la, tra la la. I'm awesome at this.",
Can you please sing me a song,"La la la, tra la la. I'm awesome at this.",
Can you sing a little song for me?,"La la la, tra la la. I'm awesome at this.",
Can you sing a little song?,"La la la, tra la la. I'm awesome at this.",
Can you sing a song for me?,"La la la, tra la la. I'm awesome at this.",
Can you sing a song to me?,"La la la, tra la la. I'm awesome at this.",
Don’t you want to sing to me?,"La la la, tra la la. I'm awesome at this.",
Can you sing a tune?,"La la la, tra la la. I'm awesome at this.",
Sing a song to me,"La la la, tra la la. I'm awesome at this.",
Can you sing me a song?,"La la la, tra la la. I'm awesome at this.",
Can you sing me something?,"La la la, tra la la. I'm awesome at this.",
Can you sing something for me?,"La la la, tra la la. I'm awesome at this.",
Can you sing something?,"La la la, tra la la. I'm awesome at this.",
Can you sing to me?,"La la la, tra la la. I'm awesome at this.",
Can you sing?,"La la la, tra la la. I'm awesome at this.",
Come on sing a song,"La la la, tra la la. I'm awesome at this.",
Do you ever sing?,"La la la, tra la la. I'm awesome at this.",
Do you know any songs?,"La la la, tra la la. I'm awesome at this.",
Do you know any tunes?,"La la la, tra la la. I'm awesome at this.",
Do you know how to hum a song,"La la la, tra la la. I'm awesome at this.",
Can you sing a song?,"La la la, tra la la. I'm awesome at this.",
Won't you sing me a ditty?,"La la la, tra la la. I'm awesome at this.",
Will you sing a tune for me,"La la la, tra la la. I'm awesome at this.",
Will you sing for me,"La la la, tra la la. I'm awesome at this.",
Will you sing me a song,"La la la, tra la la. I'm awesome at this.",
Will you sing me something?,"La la la, tra la la. I'm awesome at this.",
Will you sing something?,"La la la, tra la la. I'm awesome at this.",
Will you sing to me?,"La la la, tra la la. I'm awesome at this.",
Will you sing with me,"La la la, tra la la. I'm awesome at this.",
Will you sing?,"La la la, tra la la. I'm awesome at this.",
Won't you please sing for me?,"La la la, tra la la. I'm awesome at this.",
Won't you please sing me a song?,"La la la, tra la la. I'm awesome at this.",
Sing a song,"La la la, tra la la. I'm awesome at this.",
Won't you sing for me?,"La la la, tra la la. I'm awesome at this.",
Will you serenade me?,"La la la, tra la la. I'm awesome at this.",
Won't you sing me a song?,"La la la, tra la la. I'm awesome at this.",
Won't you sing something?,"La la la, tra la la. I'm awesome at this.",
Won't you sing to me?,"La la la, tra la la. I'm awesome at this.",
Won't you sing with me,"La la la, tra la la. I'm awesome at this.",
Would you like sing a song?,"La la la, tra la la. I'm awesome at this.",
Would you like to sing for me?,"La la la, tra la la. I'm awesome at this.",
Would you like to sing?,"La la la, tra la la. I'm awesome at this.",
Would you sing a song for me?,"La la la, tra la la. I'm awesome at this.",
Would you sing a song?,"La la la, tra la la. I'm awesome at this.",
You better start singing,"La la la, tra la la. I'm awesome at this.",
